taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
England/NORW-319A20E/2022,AY.4.2.2,0.0,0.96,Delta (AY.4.2-like),0.94,0.0,scorpio call: Alt alleles 33; Ref alleles 0; Amb alleles 2; Oth alleles 0,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319B3EE/2022,BA.1.1.1,0.7,0.1,Probable Omicron (BA.1-like),0.58,0.0,scorpio call: Alt alleles 34; Ref alleles 0; Amb alleles 23; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.49,Alt assignments: BA.1.1;BA.1.1.1
England/NORW-319CBD6/2022,BA.1.17.2,0.0,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 4; Oth alleles 4,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319BE48/2022,BA.1.1,0.29,0.97,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319BC02/2022,BA.1.1.15,0.0,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319C9F4/2022,BA.1.16,0.69,0.32,Probable Omicron (BA.1-like),0.61,0.0,scorpio call: Alt alleles 36; Ref alleles 0; Amb alleles 20; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.43,Alt assignments: BA.1;BA.1.1.1;BA.1.14;BA.1.16
England/NORW-319D759/2022,BA.1.16,0.36,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.16
England/NORW-319A28D/2022,BA.1.16,0.61,0.33,Probable Omicron (BA.1-like),0.64,0.0,scorpio call: Alt alleles 38; Ref alleles 0; Amb alleles 18; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.43,Alt assignments: BA.1;BA.1.1.1;BA.1.14;BA.1.16
England/NORW-319AD67/2022,BA.1.1.1,0.57,0.75,Omicron (BA.1-like),0.76,0.0,scorpio call: Alt alleles 45; Ref alleles 0; Amb alleles 11; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.21,Alt assignments: AY.68;BA.1.1;BA.1.1.1
England/NORW-319AF65/2022,BA.1.17.2,0.0,0.95,Omicron (BA.1-like),0.83,0.0,scorpio call: Alt alleles 49; Ref alleles 0; Amb alleles 7; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.06,
England/NORW-319CB01/2022,BA.1.16,0.43,0.67,Omicron (BA.1-like),0.76,0.0,scorpio call: Alt alleles 45; Ref alleles 0; Amb alleles 11; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.26,Alt assignments: BA.1;BA.1.14;BA.1.16
England/NORW-319CDF0/2022,BA.1.15,0.0,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319C7CC/2022,BA.1.15.1,0.35,0.35,Probable Omicron (BA.1-like),0.64,0.0,scorpio call: Alt alleles 38; Ref alleles 0; Amb alleles 17; Oth alleles 4,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.42,Alt assignments: BA.1.1.1;BA.1.15;BA.1.15.1
England/NORW-319CF61/2022,BA.1.1.1,0.48,0.56,Omicron (BA.1-like),0.75,0.0,scorpio call: Alt alleles 44; Ref alleles 0; Amb alleles 11; Oth alleles 4,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.32,
England/NORW-319AFBA/2022,BA.1.15.1,0.16,0.71,Probable Omicron (BA.1-like),0.59,0.0,scorpio call: Alt alleles 35; Ref alleles 0; Amb alleles 21; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.24,Alt assignments: B.1;BA.1.15;BA.1.15.1
England/NORW-319A788/2022,BA.1.16,0.37,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.16
England/NORW-318C84D/2021,BA.1,0.85,0.65,Probable Omicron (BA.1-like),0.53,0.0,scorpio call: Alt alleles 31; Ref alleles 0; Amb alleles 26; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.27,scorpio replaced lineage inference B.1.1
England/NORW-3191DBF/2022,BA.1.16,0.41,0.94,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 6; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.08,Alt assignments: BA.1;BA.1.14;BA.1.16
England/NORW-3196132/2022,BA.1.1.13,0.63,0.83,Probable Omicron (BA.1-like),0.68,0.0,scorpio call: Alt alleles 40; Ref alleles 0; Amb alleles 17; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.16,Alt assignments: BA.1.1;BA.1.1.11;BA.1.1.13
England/NORW-3195E37/2022,BA.1.15,0.0,0.99,Omicron (BA.1-like),0.88,0.0,scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,
England/NORW-31972BE/2022,BA.2.3,0.0,0.98,Omicron (BA.2-like),0.92,0.0,scorpio call: Alt alleles 59; Ref alleles 0; Amb alleles 5; Oth alleles 0,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.05,
England/NORW-318E1CF/2021,BA.1.14,0.84,0.56,Probable Omicron (BA.1-like),0.53,0.0,scorpio call: Alt alleles 31; Ref alleles 0; Amb alleles 27; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.31,Alt assignments: B.1.1;BA.1.14
England/NORW-3192E11/2022,BA.1.17.2,0.06,0.99,Omicron (BA.1-like),0.88,0.0,scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,Alt assignments: B.1.1.7;BA.1.12;BA.1.17.2
England/NORW-3197304/2022,BA.1.16,0.62,0.86,Omicron (BA.1-like),0.78,0.0,scorpio call: Alt alleles 46; Ref alleles 0; Amb alleles 11; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.14,Alt assignments: BA.1;BA.1.14;BA.1.16
England/NORW-319754A/2022,BA.1.1,0.39,0.97,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.05,
England/NORW-318762E/2021,BA.1.15.1,0.9,0.67,Probable Omicron (BA.1-like),0.54,0.0,scorpio call: Alt alleles 32; Ref alleles 0; Amb alleles 25; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.26,Alt assignments: B.1.1;BA.1.14;BA.1.15.1
England/NORW-319ACF5/2022,BA.1.15,0.87,0.73,Probable Omicron (BA.1-like),0.56,0.0,scorpio call: Alt alleles 33; Ref alleles 0; Amb alleles 24; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.23,Alt assignments: AY.99.2;BA.1.15
England/NORW-3196405/2022,BA.1.1.15,0.85,0.7,Probable Omicron (BA.1-like),0.58,0.0,scorpio call: Alt alleles 34; Ref alleles 0; Amb alleles 24; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.26,Alt assignments: AY.99.2;BA.1.1.11;BA.1.1.15
England/NORW-318DA1F/2021,BA.1.15.1,0.17,0.39,Probable Omicron (BA.1-like),0.51,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 28; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.38,Alt assignments: BA.1.15;BA.1.15.1
England/NORW-319792A/2022,BA.1.1.15,0.19,0.95,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.06,Alt assignments: BA.1.1;BA.1.1.15
England/NORW-318FA37/2021,BA.1.17,0.67,0.42,Probable Omicron (BA.1-like),0.51,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 28; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.37,Alt assignments: B.1.1;BA.1.17
England/NORW-3187848/2021,BA.1.17.2,0.4,0.87,Probable Omicron (BA.1-like),0.58,0.0,scorpio call: Alt alleles 34; Ref alleles 0; Amb alleles 23; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.11,Alt assignments: AY.99.2;BA.1.17;BA.1.17.2
England/NORW-31890CA/2022,BA.1.16,0.58,0.78,Probable Omicron (BA.1-like),0.54,0.0,scorpio call: Alt alleles 32; Ref alleles 0; Amb alleles 25; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.2,Alt assignments: B.1.1;BA.1.16
England/NORW-318F475/2021,BA.1.15.1,0.16,0.92,Probable Omicron (BA.1-like),0.59,0.0,scorpio call: Alt alleles 35; Ref alleles 0; Amb alleles 22; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.08,Alt assignments: BA.1.15;BA.1.15.1
England/NORW-31976AC/2022,BA.1.1,0.13,0.98,Omicron (BA.1-like),0.88,0.0,scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-3190B34/2022,BA.1.17,0.6,0.85,Probable Omicron (BA.1-like),0.64,0.0,scorpio call: Alt alleles 38; Ref alleles 0; Amb alleles 19; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.14,Alt assignments: B.1.1.263;BA.1.1.17;BA.1.13.1;BA.1.14;BA.1.17
England/NORW-319527B/2022,BA.1.14,0.79,0.92,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.1,Alt assignments: BA.1;BA.1.14
England/NORW-31846CF/2021,BA.1.17,0.7,0.33,Probable Omicron (BA.1-like),0.51,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 28; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.41,Alt assignments: B.1.1;BA.1.17
England/NORW-318A8FA/2021,BA.1.1.15,0.56,0.26,Probable Omicron (BA.1-like),0.51,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 28; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.43,Alt assignments: B.1.1;BA.1.1.11;BA.1.1.15
England/NORW-31965D9/2022,AY.4,0.07,0.95,Delta (AY.4-like),0.91,0.0,scorpio call: Alt alleles 29; Ref alleles 0; Amb alleles 3; Oth alleles 0,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.06,
England/NORW-319BDC8/2022,BA.1,0.85,0.06,Probable Omicron (BA.1-like),0.47,0.0,scorpio call: Alt alleles 28; Ref alleles 0; Amb alleles 30; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.5,Alt assignments: AY.113;B.1.1; scorpio replaced lineage inference B.1.1
England/NORW-3196CD2/2022,BA.1.15.1,0.0,0.99,Omicron (BA.1-like),0.88,0.0,scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,
England/NORW-31952B2/2022,BA.2,0.51,0.99,Omicron (BA.2-like),0.94,0.0,scorpio call: Alt alleles 60; Ref alleles 0; Amb alleles 3; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,
England/NORW-319202D/2022,BA.1.15,0.78,0.97,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.06,Alt assignments: BA.1;BA.1.15
England/NORW-3191FBD/2022,BA.1.16,0.46,0.99,Omicron (BA.1-like),0.88,0.0,scorpio call: Alt alleles 52; Ref alleles 0; Amb alleles 4; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,Alt assignments: BA.1;BA.1.16
England/NORW-318CA67/2021,BA.1.14,0.84,0.27,Probable Omicron (BA.1-like),0.51,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 28; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.41,Alt assignments: B.1.1;BA.1.14
England/NORW-3195296/2022,BA.1.14,0.77,0.6,Probable Omicron (BA.1-like),0.56,0.0,scorpio call: Alt alleles 33; Ref alleles 0; Amb alleles 25; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.3,Alt assignments: AY.99.2;BA.1.14
England/NORW-3195288/2022,BA.1.16,0.61,0.84,Omicron (BA.1-like),0.69,0.0,scorpio call: Alt alleles 41; Ref alleles 0; Amb alleles 16; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.15,Alt assignments: BA.1;BA.1.1.1;BA.1.14;BA.1.16
